custid,startlen,time,payleft,lagtest,cancelnow
6052,1,11,0,0,0
6053,6,1,5,4,0
6053,6,2,4,4,0
6053,6,3,3,4,0
6053,6,4,2,4,0
6053,6,5,1,4,0
6053,6,6,0,4,0
6053,6,7,5,4,0
6053,6,8,4,4,0
6053,6,9,3,4,0
6053,6,10,2,4,0
6053,6,11,1,4,0
6054,12,1,11,4,0
6054,12,2,10,4,0
6054,12,3,9,4,0
6054,12,4,8,4,0
6054,12,5,7,4,0
6054,12,6,6,4,0
6054,12,7,5,4,0
6054,12,8,4,4,0
6054,12,9,3,4,0
6054,12,10,2,4,0
6054,12,11,1,4,0
6055,1,1,0,0,0
6055,1,2,0,0,0
6055,1,3,0,0,0
6055,1,4,0,0,0
6055,1,5,0,0,1
6056,1,1,0,0,0
6056,1,2,0,0,1
6057,6,1,5,4,0
6057,6,2,4,4,0
6057,6,3,3,4,0
6057,6,4,2,4,0
6057,6,5,1,4,0
6057,6,6,0,4,0
6057,6,7,5,4,0
6057,6,8,4,4,0
6057,6,9,3,4,0
6057,6,10,2,0,0
6057,6,11,1,4,0
6058,1,1,0,4,0
6058,1,2,0,4,0
6058,1,3,0,4,1
6059,1,1,0,0,0
6059,1,2,0,0,0
6059,1,3,0,0,1
6060,12,1,11,4,0
6060,12,2,10,4,0
6060,12,3,9,4,0
6060,12,4,8,4,0
6060,12,5,7,4,0
6060,12,6,6,4,0
6060,12,7,5,4,0
6060,12,8,4,4,0
6060,12,9,3,4,0
6060,12,10,2,4,0
6060,12,11,1,4,0
6061,1,1,0,4,0
6061,1,2,0,0,0
6061,1,3,0,0,0
6061,1,4,0,0,0
6061,1,5,0,0,1
6062,1,1,0,4,0
6062,1,2,0,0,0
6062,1,3,0,0,0
6062,1,4,0,0,1
6063,6,1,5,4,0
6063,6,2,4,4,0
6063,6,3,3,4,0
6063,6,4,2,4,0
6063,6,5,1,4,0
6063,6,6,0,4,0
6063,6,7,5,4,0
6063,6,8,4,4,0
6063,6,9,3,4,0
6063,6,10,2,4,0
6063,6,11,1,4,0
6064,1,1,0,0,0
6064,1,2,0,0,0
6064,1,3,0,0,0
6064,1,4,0,0,0
6064,1,5,0,0,0
6064,1,6,0,0,0
6064,1,7,0,0,0
6064,1,8,0,0,0
6064,1,9,0,0,1
6065,1,1,0,4,0
6065,1,2,0,4,0
6065,1,3,0,4,0
6065,1,4,0,4,0
6065,1,5,0,4,0
6065,1,6,0,4,0
6065,1,7,0,4,0
6065,1,8,0,4,0
6065,1,9,0,4,0
6065,1,10,0,4,0
6065,1,11,0,0,0
6066,6,1,5,4,0
6066,6,2,4,4,0
6066,6,3,3,4,0
6066,6,4,2,4,0
6066,6,5,1,4,0
6066,6,6,0,4,0
6066,6,7,5,4,0
6066,6,8,4,4,0
6066,6,9,3,4,0
6066,6,10,2,4,0
6066,6,11,1,4,0
6067,6,1,5,4,0
6067,6,2,4,4,0
6067,6,3,3,4,0
6067,6,4,2,4,0
6067,6,5,1,4,0
6067,6,6,0,4,0
6067,6,7,5,4,0
6067,6,8,4,4,0
6067,6,9,3,4,0
6067,6,10,2,4,0
6067,6,11,1,4,0
6068,1,1,0,0,0
6068,1,2,0,2,0
6068,1,3,0,4,0
6068,1,4,0,0,0
6068,1,5,0,0,0
6068,1,6,0,4,0
6068,1,7,0,0,0
6068,1,8,0,3,0
6068,1,9,0,4,0
6068,1,10,0,3,0
6068,1,11,0,0,0
6069,1,1,0,0,0
6069,1,2,0,0,0
6069,1,3,0,0,0
6069,1,4,0,0,1
6070,6,1,5,4,0
6070,6,2,4,4,0
6070,6,3,3,4,0
6070,6,4,2,0,0
6070,6,5,1,0,0
6070,6,6,0,0,0
6070,6,7,5,4,0
6070,6,8,4,0,0
6070,6,9,3,0,0
6070,6,10,2,0,0
6070,6,11,1,0,0
6071,6,1,5,4,0
6071,6,2,4,4,0
6071,6,3,3,4,0
6071,6,4,2,4,0
6071,6,5,1,4,0
6071,6,6,0,4,0
6071,6,7,5,4,0
6071,6,8,4,4,0
6071,6,9,3,4,0
6071,6,10,2,4,0
6071,6,11,1,4,0
6072,1,1,0,4,0
6072,1,2,0,4,0
6072,1,3,0,4,0
6072,1,4,0,4,0
6072,1,5,0,4,0
6072,1,6,0,4,0
6072,1,7,0,4,0
6072,1,8,0,4,0
6072,1,9,0,4,0
6072,1,10,0,4,0
6072,1,11,0,0,0
6073,1,1,0,4,0
6073,1,2,0,4,0
6073,1,3,0,4,0
6073,1,4,0,4,0
6073,1,5,0,4,0
6073,1,6,0,4,0
6073,1,7,0,4,0
6073,1,8,0,4,0
6073,1,9,0,4,0
6073,1,10,0,4,0
6073,1,11,0,4,0
6074,1,1,0,0,0
6074,1,2,0,0,0
6074,1,3,0,0,0
6074,1,4,0,0,0
6074,1,5,0,0,0
6074,1,6,0,0,0
6074,1,7,0,0,0
6074,1,8,0,0,0
6074,1,9,0,0,0
6074,1,10,0,0,1
6075,12,1,11,4,0
6075,12,2,10,4,0
6075,12,3,9,4,0
6075,12,4,8,4,0
6075,12,5,7,4,0
6075,12,6,6,4,0
6075,12,7,5,4,0
6075,12,8,4,4,0
6075,12,9,3,4,0
6075,12,10,2,4,0
6075,12,11,1,4,0
6076,1,1,0,0,0
6076,1,2,0,0,0
6076,1,3,0,0,1
6077,12,1,11,4,0
6077,12,2,10,4,0
6077,12,3,9,4,0
6077,12,4,8,4,0
6077,12,5,7,4,0
6077,12,6,6,4,0
6077,12,7,5,4,0
6077,12,8,4,4,0
6077,12,9,3,4,0
6077,12,10,2,4,0
6077,12,11,1,4,0
6078,1,1,0,4,0
6078,1,2,0,4,0
6078,1,3,0,4,0
6078,1,4,0,4,0
6078,1,5,0,4,0
6078,1,6,0,4,0
6078,1,7,0,4,0
6078,1,8,0,4,0
6078,1,9,0,4,0
6078,1,10,0,4,0
6078,1,11,0,4,0
6079,1,1,0,0,0
6079,1,2,0,0,0
6079,1,3,0,0,0
6079,1,4,0,0,0
6079,1,5,0,0,0
6079,1,6,0,0,0
6079,1,7,0,0,1
6080,1,1,0,4,0
6080,1,2,0,4,0
6080,1,3,0,4,0
6080,1,4,0,4,0
6080,1,5,0,4,0
6080,1,6,0,4,0
6080,1,7,0,4,0
6080,1,8,0,4,0
6080,1,9,0,4,0
6080,1,10,0,4,0
6080,1,11,0,4,0
6081,1,1,0,0,0
6081,1,2,0,0,1
6082,6,1,5,1,0
6082,6,2,4,4,0
6082,6,3,3,4,0
6082,6,4,2,4,1
6083,1,1,0,4,0
6083,1,2,0,4,0
6083,1,3,0,0,1
6084,1,1,0,4,0
6084,1,2,0,4,0
6084,1,3,0,4,0
6084,1,4,0,2,0
6084,1,5,0,3,0
6084,1,6,0,2,0
6084,1,7,0,2,0
6084,1,8,0,1,0
6084,1,9,0,0,0
6084,1,10,0,0,0
6084,1,11,0,0,0
6085,1,1,0,0,0
6085,1,2,0,0,0
6085,1,3,0,0,0
6085,1,4,0,0,0
6085,1,5,0,0,0
6085,1,6,0,0,1
6086,1,1,0,4,0
6086,1,2,0,4,0
6086,1,3,0,4,0
6086,1,4,0,4,0
6086,1,5,0,4,0
6086,1,6,0,4,0
6086,1,7,0,4,0
6086,1,8,0,4,0
6086,1,9,0,4,0
6086,1,10,0,4,0
6086,1,11,0,4,0
6087,6,1,5,4,0
6087,6,2,4,4,0
6087,6,3,3,4,0
6087,6,4,2,4,0
6087,6,5,1,4,0
6087,6,6,0,4,0
6087,6,7,5,4,0
6087,6,8,4,4,0
6087,6,9,3,4,0
6087,6,10,2,4,0
6087,6,11,1,4,0
6088,1,1,0,4,0
6088,1,2,0,0,0
6088,1,3,0,0,0
6088,1,4,0,0,0
6088,1,5,0,4,0
6088,1,6,0,4,0
6088,1,7,0,0,0
6088,1,8,0,4,0
6088,1,9,0,0,0
6088,1,10,0,0,0
6088,1,11,0,0,0
6089,6,1,5,0,0
6089,6,2,4,4,0
6089,6,3,3,4,0
6089,6,4,2,0,0
6089,6,5,1,4,0
6089,6,6,0,0,1
6090,6,1,5,4,0
6090,6,2,4,3,0
6090,6,3,3,4,0
6090,6,4,2,4,0
6090,6,5,1,4,0
6090,6,6,0,4,0
6090,6,7,5,4,0
6090,6,8,4,4,0
6090,6,9,3,4,0
6090,6,10,2,4,0
6090,6,11,1,4,0
6091,12,1,11,4,0
6091,12,2,10,4,0
6091,12,3,9,4,0
6091,12,4,8,4,0
6091,12,5,7,4,0
6091,12,6,6,0,0
6091,12,7,5,4,0
6091,12,8,4,4,0
6091,12,9,3,4,0
6091,12,10,2,4,0
6091,12,11,1,4,0
6092,1,1,0,0,0
6092,1,2,0,4,0
6092,1,3,0,0,0
6092,1,4,0,0,0
6092,1,5,0,0,0
6092,1,6,0,0,0
6092,1,7,0,0,0
6092,1,8,0,0,1
6093,12,1,11,4,0
6093,12,2,10,4,0
6093,12,3,9,4,0
6093,12,4,8,4,0
6093,12,5,7,4,0
6093,12,6,6,4,0
